date,region,disease,cases,deaths,recovered,population
2024-02-16,Maharashtra,Influenza,154,5,134,175163730
2024-02-16,Maharashtra,COVID-19,168,6,149,175163730
2024-02-16,Karnataka,Dengue,17,0,14,42947521
2024-02-16,Karnataka,Malaria,77,1,61,42947521
2024-02-16,Karnataka,Cholera,73,2,67,42947521
2024-02-16,Karnataka,Influenza,155,5,140,42947521
2024-02-16,Karnataka,COVID-19,84,4,71,42947521
2024-02-16,Delhi,Dengue,97,3,89,193546204
2024-02-16,Delhi,Malaria,46,0,40,193546204
2024-02-16,Delhi,Cholera,24,0,21,193546204
2024-02-16,Delhi,Influenza,338,6,295,193546204
2024-02-16,Delhi,COVID-19,40,1,32,193546204
2024-02-16,Tamil Nadu,Dengue,49,0,46,179545144
2024-02-16,Tamil Nadu,Malaria,69,1,58,179545144
2024-02-16,Tamil Nadu,Cholera,13,0,11,179545144
2024-02-16,Tamil Nadu,Influenza,86,1,76,179545144
2024-02-16,Tamil Nadu,COVID-19,43,1,39,179545144
2024-02-16,Kerala,Dengue,91,4,79,32140481
2024-02-16,Kerala,Malaria,59,1,48,32140481
2024-02-16,Kerala,Cholera,30,1,24,32140481
2024-02-16,Kerala,Influenza,143,7,119,32140481
2024-02-16,Kerala,COVID-19,288,3,264,32140481
2024-02-16,Gujarat,Dengue,64,1,55,74452675
2024-02-16,Gujarat,Malaria,48,1,40,74452675
2024-02-16,Gujarat,Cholera,96,1,85,74452675
2024-02-16,Gujarat,Influenza,252,9,219,74452675
2024-02-16,Gujarat,COVID-19,180,8,170,74452675
2024-02-16,Uttar Pradesh,Dengue,63,2,56,168413055
2024-02-16,Uttar Pradesh,Malaria,33,1,28,168413055
2024-02-16,Uttar Pradesh,Cholera,38,1,30,168413055
2024-02-16,Uttar Pradesh,Influenza,45,0,41,168413055
2024-02-16,Uttar Pradesh,COVID-19,218,3,183,168413055
2024-02-16,West Bengal,Dengue,82,3,71,137974123
2024-02-16,West Bengal,Malaria,71,1,67,137974123
2024-02-16,West Bengal,Cholera,77,2,64,137974123
2024-02-16,West Bengal,Influenza,390,15,331,137974123
2024-02-16,West Bengal,COVID-19,278,10,243,137974123
2024-02-16,Rajasthan,Dengue,10,0,8,158830380
2024-02-16,Rajasthan,Malaria,33,0,28,158830380
2024-02-16,Rajasthan,Cholera,35,0,28,158830380
2024-02-16,Rajasthan,Influenza,57,0,46,158830380
2024-02-16,Rajasthan,COVID-19,358,10,325,158830380
2024-02-16,Telangana,Dengue,48,0,39,184526760
2024-02-16,Telangana,Malaria,29,0,27,184526760
2024-02-16,Telangana,Cholera,50,2,40,184526760
2024-02-16,Telangana,Influenza,52,1,45,184526760
2024-02-16,Telangana,COVID-19,138,6,126,184526760
2024-02-23,Maharashtra,Dengue,90,2,75,62853813
2024-02-23,Maharashtra,Malaria,35,1,28,62853813
2024-02-23,Maharashtra,Cholera,26,0,21,62853813
2024-02-23,Maharashtra,Influenza,445,14,421,62853813
2024-02-23,Maharashtra,COVID-19,256,9,209,62853813
2024-02-23,Karnataka,Dengue,28,0,23,154648718
2024-02-23,Karnataka,Malaria,88,1,77,154648718
2024-02-23,Karnataka,Cholera,83,4,74,154648718
2024-02-23,Karnataka,Influenza,236,11,194,154648718
2024-02-23,Karnataka,COVID-19,68,2,55,154648718
2024-02-23,Delhi,Dengue,45,0,41,183994039
2024-02-23,Delhi,Malaria,23,1,18,183994039
2024-02-23,Delhi,Cholera,57,2,48,183994039
2024-02-23,Delhi,Influenza,195,2,182,183994039
2024-02-23,Delhi,COVID-19,34,1,28,183994039
2024-02-23,Tamil Nadu,Dengue,45,0,37,175039054
2024-02-23,Tamil Nadu,Malaria,99,2,80,175039054
2024-02-23,Tamil Nadu,Cholera,59,2,54,175039054
2024-02-23,Tamil Nadu,Influenza,81,1,66,175039054
2024-02-23,Tamil Nadu,COVID-19,394,19,344,175039054
2024-02-23,Kerala,Dengue,12,0,11,80855746
2024-02-23,Kerala,Malaria,31,0,27,80855746
2024-02-23,Kerala,Cholera,55,0,45,80855746
2024-02-23,Kerala,Influenza,280,10,242,80855746
2024-02-23,Kerala,COVID-19,103,2,95,80855746
2024-02-23,Gujarat,Dengue,58,1,53,181455700
2024-02-23,Gujarat,Malaria,46,1,42,181455700
2024-02-23,Gujarat,Cholera,63,2,56,181455700
2024-02-23,Gujarat,Influenza,246,9,201,181455700
2024-02-23,Gujarat,COVID-19,332,13,280,181455700
2024-02-23,Uttar Pradesh,Dengue,42,1,38,172974423
2024-02-23,Uttar Pradesh,Malaria,65,1,59,172974423
2024-02-23,Uttar Pradesh,Cholera,23,1,21,172974423
2024-02-23,Uttar Pradesh,Influenza,333,7,314,172974423
2024-02-23,Uttar Pradesh,COVID-19,198,7,161,172974423
2024-02-23,West Bengal,Dengue,87,1,79,151695882
2024-02-23,West Bengal,Malaria,66,1,62,151695882
2024-02-23,West Bengal,Cholera,53,1,42,151695882
2024-02-23,West Bengal,Influenza,168,6,153,151695882
2024-02-23,West Bengal,COVID-19,121,3,104,151695882
2024-02-23,Rajasthan,Dengue,32,1,29,81876624
2024-02-23,Rajasthan,Malaria,24,0,22,81876624
2024-02-23,Rajasthan,Cholera,61,1,55,81876624
2024-02-23,Rajasthan,Influenza,185,5,163,81876624
2024-02-23,Rajasthan,COVID-19,333,8,293,81876624
2024-02-23,Telangana,Dengue,90,3,76,121420037
2024-02-23,Telangana,Malaria,15,0,14,121420037
2024-02-23,Telangana,Cholera,99,1,86,121420037
2024-02-23,Telangana,Influenza,282,7,266,121420037
2024-02-23,Telangana,COVID-19,30,1,25,121420037
2024-03-01,Maharashtra,Dengue,51,1,43,48104602
2024-03-01,Maharashtra,Malaria,79,0,68,48104602
2024-03-01,Maharashtra,Cholera,92,4,74,48104602
2024-03-01,Maharashtra,Influenza,44,1,40,48104602
2024-03-01,Maharashtra,COVID-19,152,6,134,48104602
2024-03-01,Karnataka,Dengue,52,1,45,180997709
2024-03-01,Karnataka,Malaria,32,1,28,180997709
2024-03-01,Karnataka,Cholera,48,1,39,180997709
2024-03-01,Karnataka,Influenza,95,2,83,180997709
2024-03-01,Karnataka,COVID-19,223,9,201,180997709
2024-03-01,Delhi,Dengue,36,0,30,173201163
2024-03-01,Delhi,Malaria,66,2,52,173201163
2024-03-01,Delhi,Cholera,95,1,88,173201163
2024-03-01,Delhi,Influenza,81,1,70,173201163
2024-03-01,Delhi,COVID-19,119,4,106,173201163
2024-03-01,Tamil Nadu,Dengue,16,0,13,134738225
2024-03-01,Tamil Nadu,Malaria,55,1,51,134738225
2024-03-01,Tamil Nadu,Cholera,26,0,22,134738225
2024-03-01,Tamil Nadu,Influenza,99,4,81,134738225
2024-03-01,Tamil Nadu,COVID-19,50,1,46,134738225
2024-03-01,Kerala,Dengue,89,3,80,51983117
2024-03-01,Kerala,Malaria,22,0,20,51983117
2024-03-01,Kerala,Cholera,69,1,56,51983117
2024-03-01,Kerala,Influenza,86,2,80,51983117
2024-03-01,Kerala,COVID-19,144,4,128,51983117
2024-03-01,Gujarat,Dengue,90,3,76,94153896
2024-03-01,Gujarat,Malaria,69,3,60,94153896
2024-03-01,Gujarat,Cholera,20,0,16,94153896
2024-03-01,Gujarat,Influenza,81,1,74,94153896
2024-03-01,Gujarat,COVID-19,53,1,44,94153896
2024-03-01,Uttar Pradesh,Dengue,52,2,43,128856880
2024-03-01,Uttar Pradesh,Malaria,92,1,86,128856880
2024-03-01,Uttar Pradesh,Cholera,29,1,27,128856880
2024-03-01,Uttar Pradesh,Influenza,99,4,88,128856880
2024-03-01,Uttar Pradesh,COVID-19,131,1,106,128856880
2024-03-01,West Bengal,Dengue,57,1,49,109478910
2024-03-01,West Bengal,Malaria,86,1,69,109478910
2024-03-01,West Bengal,Cholera,25,0,20,109478910
2024-03-01,West Bengal,Influenza,44,1,40,109478910
2024-03-01,West Bengal,COVID-19,23,0,19,109478910
2024-03-01,Rajasthan,Dengue,59,2,47,144868475
2024-03-01,Rajasthan,Malaria,50,0,44,144868475
2024-03-01,Rajasthan,Cholera,91,1,73,144868475
2024-03-01,Rajasthan,Influenza,78,3,69,144868475
2024-03-01,Rajasthan,COVID-19,278,3,256,144868475
2024-03-01,Telangana,Dengue,11,0,8,106431653
2024-03-01,Telangana,Malaria,58,1,54,106431653
2024-03-01,Telangana,Cholera,24,0,20,106431653
2024-03-01,Telangana,Influenza,39,0,32,106431653
2024-03-01,Telangana,COVID-19,269,4,253,106431653
2024-03-08,Maharashtra,Dengue,86,2,77,196096414
2024-03-08,Maharashtra,Malaria,53,1,49,196096414
2024-03-08,Maharashtra,Cholera,33,1,26,196096414
2024-03-08,Maharashtra,Influenza,58,0,49,196096414
2024-03-08,Maharashtra,COVID-19,201,8,185,196096414
2024-03-08,Karnataka,Dengue,90,1,73,85073821
2024-03-08,Karnataka,Malaria,36,1,33,85073821
2024-03-08,Karnataka,Cholera,92,4,82,85073821
2024-03-08,Karnataka,Influenza,49,0,44,85073821
2024-03-08,Karnataka,COVID-19,57,2,53,85073821
2024-03-08,Delhi,Dengue,43,2,36,127213086
2024-03-08,Delhi,Malaria,89,1,74,127213086
2024-03-08,Delhi,Cholera,55,0,50,127213086
2024-03-08,Delhi,Influenza,68,2,54,127213086
2024-03-08,Delhi,COVID-19,278,6,248,127213086
2024-03-08,Tamil Nadu,Dengue,93,1,87,59785075
2024-03-08,Tamil Nadu,Malaria,26,0,23,59785075
2024-03-08,Tamil Nadu,Cholera,59,0,54,59785075
2024-03-08,Tamil Nadu,Influenza,93,1,85,59785075
2024-03-08,Tamil Nadu,COVID-19,99,3,79,59785075
2024-03-08,Kerala,Dengue,65,2,55,119571808
2024-03-08,Kerala,Malaria,27,0,23,119571808
2024-03-08,Kerala,Cholera,64,2,60,119571808
2024-03-08,Kerala,Influenza,36,0,30,119571808
2024-03-08,Kerala,COVID-19,44,0,39,119571808
2024-03-08,Gujarat,Dengue,66,1,54,175502095
2024-03-08,Gujarat,Malaria,56,2,47,175502095
2024-03-08,Gujarat,Cholera,46,1,40,175502095
2024-03-08,Gujarat,Influenza,59,0,50,175502095
2024-03-08,Gujarat,COVID-19,131,6,115,175502095
2024-03-08,Uttar Pradesh,Dengue,46,0,37,92411680
2024-03-08,Uttar Pradesh,Malaria,49,0,41,92411680
2024-03-08,Uttar Pradesh,Cholera,44,1,38,92411680
2024-03-08,Uttar Pradesh,Influenza,96,2,77,92411680
2024-03-08,Uttar Pradesh,COVID-19,289,8,265,92411680
2024-03-08,West Bengal,Dengue,22,0,18,42149340
2024-03-08,West Bengal,Malaria,64,0,57,42149340
2024-03-08,West Bengal,Cholera,84,1,77,42149340
2024-03-08,West Bengal,Influenza,69,2,55,42149340
2024-03-08,West Bengal,COVID-19,164,4,143,42149340
2024-03-08,Rajasthan,Dengue,14,0,12,195487675
2024-03-08,Rajasthan,Malaria,60,1,55,195487675
2024-03-08,Rajasthan,Cholera,48,0,38,195487675
2024-03-08,Rajasthan,Influenza,82,3,70,195487675
2024-03-08,Rajasthan,COVID-19,42,1,37,195487675
2024-03-08,Telangana,Dengue,56,2,48,147718603
2024-03-08,Telangana,Malaria,28,0,24,147718603
2024-03-08,Telangana,Cholera,58,2,46,147718603
2024-03-08,Telangana,Influenza,21,0,17,147718603
2024-03-08,Telangana,COVID-19,199,6,169,147718603
2024-03-15,Maharashtra,Dengue,97,4,80,66137032
2024-03-15,Maharashtra,Malaria,87,3,70,66137032
2024-03-15,Maharashtra,Cholera,59,2,51,66137032
2024-03-15,Maharashtra,Influenza,29,0,23,66137032
2024-03-15,Maharashtra,COVID-19,265,9,221,66137032
2024-03-15,Karnataka,Dengue,72,1,60,112868975
2024-03-15,Karnataka,Malaria,77,2,72,112868975
2024-03-15,Karnataka,Cholera,87,2,80,112868975
2024-03-15,Karnataka,Influenza,94,3,76,112868975
2024-03-15,Karnataka,COVID-19,66,1,53,112868975
2024-03-15,Delhi,Dengue,31,1,28,180995794
2024-03-15,Delhi,Malaria,31,1,28,180995794
2024-03-15,Delhi,Cholera,41,0,38,180995794
2024-03-15,Delhi,Influenza,49,1,42,180995794
2024-03-15,Delhi,COVID-19,120,2,100,180995794
2024-03-15,Tamil Nadu,Dengue,21,1,19,176855754
2024-03-15,Tamil Nadu,Malaria,94,1,88,176855754
2024-03-15,Tamil Nadu,Cholera,50,1,40,176855754
2024-03-15,Tamil Nadu,Influenza,99,2,83,176855754
2024-03-15,Tamil Nadu,COVID-19,101,2,89,176855754
2024-03-15,Kerala,Dengue,77,1,68,75190988
2024-03-15,Kerala,Malaria,22,0,18,75190988
2024-03-15,Kerala,Cholera,43,2,39,75190988
2024-03-15,Kerala,Influenza,47,2,39,75190988
2024-03-15,Kerala,COVID-19,223,2,189,75190988
2024-03-15,Gujarat,Dengue,84,0,79,48837473
2024-03-15,Gujarat,Malaria,52,2,44,48837473
2024-03-15,Gujarat,Cholera,53,0,43,48837473
2024-03-15,Gujarat,Influenza,17,0,14,48837473
2024-03-15,Gujarat,COVID-19,46,1,38,48837473
2024-03-15,Uttar Pradesh,Dengue,83,2,73,83874221
2024-03-15,Uttar Pradesh,Malaria,20,0,17,83874221
2024-03-15,Uttar Pradesh,Cholera,41,0,33,83874221
2024-03-15,Uttar Pradesh,Influenza,59,1,53,83874221
2024-03-15,Uttar Pradesh,COVID-19,33,1,28,83874221
2024-03-15,West Bengal,Dengue,67,2,55,107639019
2024-03-15,West Bengal,Malaria,82,1,76,107639019
2024-03-15,West Bengal,Cholera,90,3,75,107639019
2024-03-15,West Bengal,Influenza,14,0,11,107639019
2024-03-15,West Bengal,COVID-19,24,0,19,107639019
2024-03-15,Rajasthan,Dengue,36,1,34,40527889
2024-03-15,Rajasthan,Malaria,55,0,52,40527889
2024-03-15,Rajasthan,Cholera,81,2,74,40527889
2024-03-15,Rajasthan,Influenza,71,3,62,40527889
2024-03-15,Rajasthan,COVID-19,256,3,238,40527889
2024-03-15,Telangana,Dengue,57,2,52,198780658
2024-03-15,Telangana,Malaria,30,0,26,198780658
2024-03-15,Telangana,Cholera,91,4,75,198780658
2024-03-15,Telangana,Influenza,83,2,71,198780658
2024-03-15,Telangana,COVID-19,227,10,187,198780658
2024-03-22,Maharashtra,Dengue,48,2,44,47322649
2024-03-22,Maharashtra,Malaria,57,1,52,47322649
2024-03-22,Maharashtra,Cholera,66,2,59,47322649
2024-03-22,Maharashtra,Influenza,99,1,87,47322649
2024-03-22,Maharashtra,COVID-19,171,7,159,47322649
2024-03-22,Karnataka,Dengue,10,0,8,176059633
2024-03-22,Karnataka,Malaria,33,0,29,176059633
2024-03-22,Karnataka,Cholera,22,1,18,176059633
2024-03-22,Karnataka,Influenza,31,0,28,176059633
2024-03-22,Karnataka,COVID-19,281,13,227,176059633
2024-03-22,Delhi,Dengue,66,1,57,128410549
2024-03-22,Delhi,Malaria,21,0,18,128410549
2024-03-22,Delhi,Cholera,25,0,22,128410549
2024-03-22,Delhi,Influenza,82,3,65,128410549
2024-03-22,Delhi,COVID-19,467,12,426,128410549
2024-03-22,Tamil Nadu,Dengue,74,1,69,66843961
2024-03-22,Tamil Nadu,Malaria,42,1,34,66843961
2024-03-22,Tamil Nadu,Cholera,15,0,14,66843961
2024-03-22,Tamil Nadu,Influenza,94,2,81,66843961
2024-03-22,Tamil Nadu,COVID-19,259,12,232,66843961
2024-03-22,Kerala,Dengue,12,0,10,38798641
2024-03-22,Kerala,Malaria,10,0,9,38798641
2024-03-22,Kerala,Cholera,100,2,93,38798641
2024-03-22,Kerala,Influenza,100,4,87,38798641
2024-03-22,Kerala,COVID-19,61,3,49,38798641
2024-03-22,Gujarat,Dengue,94,2,75,113707038
2024-03-22,Gujarat,Malaria,21,0,18,113707038
2024-03-22,Gujarat,Cholera,19,0,18,113707038
2024-03-22,Gujarat,Influenza,78,2,68,113707038
2024-03-22,Gujarat,COVID-19,356,6,312,113707038
2024-03-22,Uttar Pradesh,Dengue,85,2,75,185044273
2024-03-22,Uttar Pradesh,Malaria,19,0,16,185044273
2024-03-22,Uttar Pradesh,Cholera,39,1,36,185044273
2024-03-22,Uttar Pradesh,Influenza,64,1,57,185044273
2024-03-22,Uttar Pradesh,COVID-19,86,2,69,185044273
2024-03-22,West Bengal,Dengue,73,1,65,111376420
2024-03-22,West Bengal,Malaria,46,0,43,111376420
2024-03-22,West Bengal,Cholera,41,1,38,111376420
2024-03-22,West Bengal,Influenza,56,1,50,111376420
2024-03-22,West Bengal,COVID-19,89,2,72,111376420
2024-03-22,Rajasthan,Dengue,28,0,25,180048000
2024-03-22,Rajasthan,Malaria,94,2,77,180048000
2024-03-22,Rajasthan,Cholera,69,2,57,180048000
2024-03-22,Rajasthan,Influenza,29,1,25,180048000
2024-03-22,Rajasthan,COVID-19,60,2,51,180048000
2024-03-22,Telangana,Dengue,21,0,18,166659062
2024-03-22,Telangana,Malaria,45,0,38,166659062
2024-03-22,Telangana,Cholera,94,1,80,166659062
2024-03-22,Telangana,Influenza,76,1,71,166659062
2024-03-22,Telangana,COVID-19,176,3,142,166659062
2024-03-29,Maharashtra,Dengue,35,1,29,151934842
2024-03-29,Maharashtra,Malaria,31,1,29,151934842
2024-03-29,Maharashtra,Cholera,66,2,57,151934842
2024-03-29,Maharashtra,Influenza,47,2,43,151934842
2024-03-29,Maharashtra,COVID-19,132,5,105,151934842
2024-03-29,Karnataka,Dengue,63,2,59,169206336
2024-03-29,Karnataka,Malaria,72,2,59,169206336
2024-03-29,Karnataka,Cholera,77,1,71,169206336
2024-03-29,Karnataka,Influenza,99,2,93,169206336
2024-03-29,Karnataka,COVID-19,182,2,154,169206336
2024-03-29,Delhi,Dengue,47,1,41,188241051
2024-03-29,Delhi,Malaria,76,2,68,188241051
2024-03-29,Delhi,Cholera,59,0,47,188241051
2024-03-29,Delhi,Influenza,88,3,73,188241051
2024-03-29,Delhi,COVID-19,172,6,141,188241051
2024-03-29,Tamil Nadu,Dengue,16,0,14,75186819
2024-03-29,Tamil Nadu,Malaria,96,3,86,75186819
2024-03-29,Tamil Nadu,Cholera,87,2,70,75186819
2024-03-29,Tamil Nadu,Influenza,86,2,70,75186819
2024-03-29,Tamil Nadu,COVID-19,27,1,23,75186819
2024-03-29,Kerala,Dengue,28,0,23,117926168
2024-03-29,Kerala,Malaria,94,2,86,117926168
2024-03-29,Kerala,Cholera,38,1,35,117926168
2024-03-29,Kerala,Influenza,59,1,55,117926168
2024-03-29,Kerala,COVID-19,281,11,237,117926168
2024-03-29,Gujarat,Dengue,80,2,72,39256468
2024-03-29,Gujarat,Malaria,10,0,9,39256468
2024-03-29,Gujarat,Cholera,21,0,16,39256468
2024-03-29,Gujarat,Influenza,34,0,28,39256468
2024-03-29,Gujarat,COVID-19,188,6,158,39256468
2024-03-29,Uttar Pradesh,Dengue,58,1,51,163288429
2024-03-29,Uttar Pradesh,Malaria,26,1,24,163288429
2024-03-29,Uttar Pradesh,Cholera,21,0,17,163288429
2024-03-29,Uttar Pradesh,Influenza,31,1,29,163288429
2024-03-29,Uttar Pradesh,COVID-19,449,8,415,163288429
2024-03-29,West Bengal,Dengue,62,3,51,162807267
2024-03-29,West Bengal,Malaria,30,0,28,162807267
2024-03-29,West Bengal,Cholera,48,0,41,162807267
2024-03-29,West Bengal,Influenza,14,0,12,162807267
2024-03-29,West Bengal,COVID-19,177,6,165,162807267
2024-03-29,Rajasthan,Dengue,94,1,80,85298871
2024-03-29,Rajasthan,Malaria,14,0,11,85298871
2024-03-29,Rajasthan,Cholera,23,0,21,85298871
2024-03-29,Rajasthan,Influenza,97,3,82,85298871
2024-03-29,Rajasthan,COVID-19,32,0,25,85298871
2024-03-29,Telangana,Dengue,13,0,11,140631094
2024-03-29,Telangana,Malaria,31,0,27,140631094
2024-03-29,Telangana,Cholera,71,1,63,140631094
2024-03-29,Telangana,Influenza,56,0,51,140631094
2024-03-29,Telangana,COVID-19,365,5,307,140631094
2024-04-05,Maharashtra,Dengue,66,3,59,44613608
2024-04-05,Maharashtra,Malaria,84,1,73,44613608
2024-04-05,Maharashtra,Cholera,14,0,12,44613608
2024-04-05,Maharashtra,Influenza,22,0,20,44613608
2024-04-05,Maharashtra,COVID-19,54,2,47,44613608
2024-04-05,Karnataka,Dengue,29,0,24,57622353
2024-04-05,Karnataka,Malaria,24,1,19,57622353
2024-04-05,Karnataka,Cholera,48,1,39,57622353
2024-04-05,Karnataka,Influenza,27,1,25,57622353
2024-04-05,Karnataka,COVID-19,221,6,190,57622353
2024-04-05,Delhi,Dengue,55,2,50,61096231
2024-04-05,Delhi,Malaria,40,1,36,61096231
2024-04-05,Delhi,Cholera,28,1,22,61096231
2024-04-05,Delhi,Influenza,37,0,34,61096231
2024-04-05,Delhi,COVID-19,33,0,31,61096231
2024-04-05,Tamil Nadu,Dengue,60,2,54,177815183
2024-04-05,Tamil Nadu,Malaria,57,1,52,177815183
2024-04-05,Tamil Nadu,Cholera,43,1,38,177815183
2024-04-05,Tamil Nadu,Influenza,17,0,14,177815183
2024-04-05,Tamil Nadu,COVID-19,62,2,55,177815183
2024-04-05,Kerala,Dengue,33,0,28,124074636
2024-04-05,Kerala,Malaria,99,4,88,124074636
2024-04-05,Kerala,Cholera,63,1,51,124074636
2024-04-05,Kerala,Influenza,21,0,19,124074636
2024-04-05,Kerala,COVID-19,458,10,423,124074636
2024-04-05,Gujarat,Dengue,25,0,22,87912193
2024-04-05,Gujarat,Malaria,58,2,52,87912193
2024-04-05,Gujarat,Cholera,66,2,60,87912193
2024-04-05,Gujarat,Influenza,67,2,60,87912193
2024-04-05,Gujarat,COVID-19,109,5,95,87912193
2024-04-05,Uttar Pradesh,Dengue,96,4,77,55745912
2024-04-05,Uttar Pradesh,Malaria,58,2,50,55745912
2024-04-05,Uttar Pradesh,Cholera,23,0,21,55745912
2024-04-05,Uttar Pradesh,Influenza,85,2,78,55745912
2024-04-05,Uttar Pradesh,COVID-19,467,7,374,55745912
2024-04-05,West Bengal,Dengue,66,0,54,141293189
2024-04-05,West Bengal,Malaria,68,2,56,141293189
2024-04-05,West Bengal,Cholera,55,2,46,141293189
2024-04-05,West Bengal,Influenza,69,3,60,141293189
2024-04-05,West Bengal,COVID-19,189,3,166,141293189
2024-04-05,Rajasthan,Dengue,49,1,42,89035326
2024-04-05,Rajasthan,Malaria,65,3,54,89035326
2024-04-05,Rajasthan,Cholera,91,1,75,89035326
2024-04-05,Rajasthan,Influenza,15,0,12,89035326
2024-04-05,Rajasthan,COVID-19,34,1,29,89035326
2024-04-05,Telangana,Dengue,17,0,15,111342322
2024-04-05,Telangana,Malaria,42,1,34,111342322
2024-04-05,Telangana,Cholera,98,3,85,111342322
2024-04-05,Telangana,Influenza,89,1,72,111342322
2024-04-05,Telangana,COVID-19,63,2,55,111342322
2024-04-12,Maharashtra,Dengue,100,2,91,92989771
2024-04-12,Maharashtra,Malaria,56,2,51,92989771
2024-04-12,Maharashtra,Cholera,53,2,47,92989771
2024-04-12,Maharashtra,Influenza,69,1,65,92989771
2024-04-12,Maharashtra,COVID-19,47,0,44,92989771
2024-04-12,Karnataka,Dengue,75,1,67,116696724
2024-04-12,Karnataka,Malaria,93,1,80,116696724
2024-04-12,Karnataka,Cholera,10,0,9,116696724
2024-04-12,Karnataka,Influenza,15,0,12,116696724
2024-04-12,Karnataka,COVID-19,71,1,59,116696724
2024-04-12,Delhi,Dengue,54,1,49,179883625
2024-04-12,Delhi,Malaria,90,1,84,179883625
2024-04-12,Delhi,Cholera,58,2,51,179883625
2024-04-12,Delhi,Influenza,81,2,73,179883625
2024-04-12,Delhi,COVID-19,69,3,65,179883625
2024-04-12,Tamil Nadu,Dengue,32,0,30,153310210
2024-04-12,Tamil Nadu,Malaria,45,1,40,153310210
2024-04-12,Tamil Nadu,Cholera,91,3,80,153310210
2024-04-12,Tamil Nadu,Influenza,67,2,55,153310210
2024-04-12,Tamil Nadu,COVID-19,14,0,11,153310210
2024-04-12,Kerala,Dengue,54,0,48,179331169
2024-04-12,Kerala,Malaria,97,4,81,179331169
2024-04-12,Kerala,Cholera,86,1,69,179331169
2024-04-12,Kerala,Influenza,69,1,56,179331169
2024-04-12,Kerala,COVID-19,30,1,24,179331169
2024-04-12,Gujarat,Dengue,83,2,74,53837044
2024-04-12,Gujarat,Malaria,36,1,31,53837044
2024-04-12,Gujarat,Cholera,10,0,8,53837044
2024-04-12,Gujarat,Influenza,63,1,52,53837044
2024-04-12,Gujarat,COVID-19,76,2,61,53837044
2024-04-12,Uttar Pradesh,Dengue,35,1,30,95217663
2024-04-12,Uttar Pradesh,Malaria,54,2,46,95217663
2024-04-12,Uttar Pradesh,Cholera,85,1,70,95217663
2024-04-12,Uttar Pradesh,Influenza,66,1,54,95217663
2024-04-12,Uttar Pradesh,COVID-19,164,2,150,95217663
2024-04-12,West Bengal,Dengue,36,0,32,137460441
2024-04-12,West Bengal,Malaria,14,0,11,137460441
2024-04-12,West Bengal,Cholera,37,1,30,137460441
2024-04-12,West Bengal,Influenza,88,3,70,137460441
2024-04-12,West Bengal,COVID-19,43,0,40,137460441
2024-04-12,Rajasthan,Dengue,12,0,10,97054594
2024-04-12,Rajasthan,Malaria,32,1,25,97054594
2024-04-12,Rajasthan,Cholera,23,0,19,97054594
2024-04-12,Rajasthan,Influenza,25,0,22,97054594
2024-04-12,Rajasthan,COVID-19,74,1,62,97054594
2024-04-12,Telangana,Dengue,84,3,70,125489903
2024-04-12,Telangana,Malaria,81,3,70,125489903
2024-04-12,Telangana,Cholera,95,2,87,125489903
2024-04-12,Telangana,Influenza,56,2,50,125489903
2024-04-12,Telangana,COVID-19,189,9,171,125489903
2024-04-19,Maharashtra,Dengue,11,0,9,199223997
2024-04-19,Maharashtra,Malaria,14,0,13,199223997
2024-04-19,Maharashtra,Cholera,39,0,36,199223997
2024-04-19,Maharashtra,Influenza,43,1,34,199223997
2024-04-19,Maharashtra,COVID-19,129,1,104,199223997
2024-04-19,Karnataka,Dengue,71,0,58,180505770
2024-04-19,Karnataka,Malaria,79,3,65,180505770
2024-04-19,Karnataka,Cholera,45,2,42,180505770
2024-04-19,Karnataka,Influenza,21,0,19,180505770
2024-04-19,Karnataka,COVID-19,124,4,114,180505770
2024-04-19,Delhi,Dengue,48,2,44,194563138
2024-04-19,Delhi,Malaria,77,3,70,194563138
2024-04-19,Delhi,Cholera,66,2,54,194563138
2024-04-19,Delhi,Influenza,59,2,51,194563138
2024-04-19,Delhi,COVID-19,180,4,170,194563138
2024-04-19,Tamil Nadu,Dengue,20,0,17,166849495
2024-04-19,Tamil Nadu,Malaria,27,0,24,166849495
2024-04-19,Tamil Nadu,Cholera,18,0,15,166849495
2024-04-19,Tamil Nadu,Influenza,98,4,89,166849495
2024-04-19,Tamil Nadu,COVID-19,50,1,43,166849495
2024-04-19,Kerala,Dengue,64,2,54,117254493
2024-04-19,Kerala,Malaria,39,1,36,117254493
2024-04-19,Kerala,Cholera,86,4,70,117254493
2024-04-19,Kerala,Influenza,69,2,62,117254493
2024-04-19,Kerala,COVID-19,208,7,179,117254493
2024-04-19,Gujarat,Dengue,85,1,75,129627799
2024-04-19,Gujarat,Malaria,82,2,71,129627799
2024-04-19,Gujarat,Cholera,60,1,48,129627799
2024-04-19,Gujarat,Influenza,85,2,76,129627799
2024-04-19,Gujarat,COVID-19,44,0,37,129627799
2024-04-19,Uttar Pradesh,Dengue,26,1,23,74256579
2024-04-19,Uttar Pradesh,Malaria,25,0,20,74256579
2024-04-19,Uttar Pradesh,Cholera,76,3,64,74256579
2024-04-19,Uttar Pradesh,Influenza,27,0,22,74256579
2024-04-19,Uttar Pradesh,COVID-19,158,4,135,74256579
2024-04-19,West Bengal,Dengue,42,1,38,143063054
2024-04-19,West Bengal,Malaria,27,0,25,143063054
2024-04-19,West Bengal,Cholera,80,1,74,143063054
